10:51:04:642|0418-CustomStat: -CUSTOMSTATS_METADATA -Table {E2EDLY Stats} -ParentTable {components} -PrimaryKeyFields {Component,From,} -Fields {Component,STR,From,STR,To,STR,Delay,REAL,DelayMin,REAL,DelayMax,REAL,DelayMaxTime,STR,DelayAdjusted,REAL,DelayMaxAdjusted,REAL,DelayBaseline,REAL,Updates,INT,TotUpdates,REAL,RTTDelay,REAL,RTTDelayMin,REAL,RTTDelayMax,REAL,RTTDelayMaxTime,STR,RTTUpdates,INT,RTTTotUpdates,REAL,TimeStamp,STR,}
10:51:04:644|0161-CustomStat: -CUSTOMSTATS -Table {E2EDLY Stats} -Owner {STP1} -Component {STP1} -From {R567} -To {STP1} -Delay {0.0} -TimeStamp {} -SupplyTimestamp {08:51:04:644}
10:51:04:644|0175-CustomStat: -CUSTOMSTATS -Table {E2EDLY Stats} -Owner {STP1} -Component {STP1} -From {entitlement_server} -To {STP1} -Delay {0.0} -TimeStamp {} -SupplyTimestamp {08:51:04:644}
10:51:04:644|0187-CustomStat: -CUSTOMSTATS_METADATA -Table {MQ Stats} -ParentTable {components} -PrimaryKeyFields {} -Fields {Component,STR,MQPubLocal,INT,MQSubLocal,INT,MQPut,INT,MQSup,INT,TimeStamp,STR,}
10:51:04:644|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {STP1} -Component {STP1} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {08:51:04:644}
10:51:04:644|0335-CustomStat: -CUSTOMSTATS_METADATA -Table {GC Stats} -ParentTable {components} -PrimaryKeyFields {} -Fields {Component,STR,YoungGenUse,INT,YoungGenMax,INT,OldGenUse,INT,OldGenMax,INT,PermGenUse,INT,PermGenMax,INT,MinCollCnt,INT,MajCollCnt,INT,MinCollDur,INT,MajCollDur,INT,MinCollStw,INT,MajCollStw,INT,HeapAllocKBps,INT,TimeStamp,STR,}
10:51:04:644|0358-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {STP1} -Component {STP1} -YoungGenUse {51089} -YoungGenMax {2762752} -OldGenUse {16837} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {2} -MajCollCnt {1} -MinCollDur {16} -MajCollDur {30} -MinCollStw {14} -MajCollStw {30} -HeapAllocKBps {3656} -TimeStamp {} -SupplyTimestamp {08:51:04:644}
10:51:05:296|0047-TickData: RTTDelay,DM_DOCKER,STP1 {2=3,3=3,4=1}
10:52:11:918|0418-CustomStat: -CUSTOMSTATS_METADATA -Table {E2EDLY Stats} -ParentTable {components} -PrimaryKeyFields {Component,From,} -Fields {Component,STR,From,STR,To,STR,Delay,REAL,DelayMin,REAL,DelayMax,REAL,DelayMaxTime,STR,DelayAdjusted,REAL,DelayMaxAdjusted,REAL,DelayBaseline,REAL,Updates,INT,TotUpdates,REAL,RTTDelay,REAL,RTTDelayMin,REAL,RTTDelayMax,REAL,RTTDelayMaxTime,STR,RTTUpdates,INT,RTTTotUpdates,REAL,TimeStamp,STR,}
10:52:11:920|0161-CustomStat: -CUSTOMSTATS -Table {E2EDLY Stats} -Owner {STP1} -Component {STP1} -From {R567} -To {STP1} -Delay {0.0} -TimeStamp {} -SupplyTimestamp {08:52:11:920}
10:52:11:920|0175-CustomStat: -CUSTOMSTATS -Table {E2EDLY Stats} -Owner {STP1} -Component {STP1} -From {entitlement_server} -To {STP1} -Delay {0.0} -TimeStamp {} -SupplyTimestamp {08:52:11:920}
10:52:11:921|0187-CustomStat: -CUSTOMSTATS_METADATA -Table {MQ Stats} -ParentTable {components} -PrimaryKeyFields {} -Fields {Component,STR,MQPubLocal,INT,MQSubLocal,INT,MQPut,INT,MQSup,INT,TimeStamp,STR,}
10:52:11:921|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {STP1} -Component {STP1} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {08:52:11:921}
10:52:11:921|0335-CustomStat: -CUSTOMSTATS_METADATA -Table {GC Stats} -ParentTable {components} -PrimaryKeyFields {} -Fields {Component,STR,YoungGenUse,INT,YoungGenMax,INT,OldGenUse,INT,OldGenMax,INT,PermGenUse,INT,PermGenMax,INT,MinCollCnt,INT,MajCollCnt,INT,MinCollDur,INT,MajCollDur,INT,MinCollStw,INT,MajCollStw,INT,HeapAllocKBps,INT,TimeStamp,STR,}
10:52:11:921|0358-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {STP1} -Component {STP1} -YoungGenUse {54708} -YoungGenMax {2762752} -OldGenUse {16470} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {2} -MajCollCnt {1} -MinCollDur {17} -MajCollDur {28} -MinCollStw {16} -MajCollStw {28} -HeapAllocKBps {3717} -TimeStamp {} -SupplyTimestamp {08:52:11:921}
10:52:12:740|0047-TickData: RTTDelay,DM_DOCKER,STP1 {3=4,4=2,5=1}
10:53:11:923|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {STP1} -Component {STP1} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {08:53:11:923}
10:53:11:923|0352-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {STP1} -Component {STP1} -YoungGenUse {57330} -YoungGenMax {2762752} -OldGenUse {16470} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {0} -MajCollCnt {0} -MinCollDur {0} -MajCollDur {0} -MinCollStw {0} -MajCollStw {0} -HeapAllocKBps {43} -TimeStamp {} -SupplyTimestamp {08:53:11:923}
10:53:12:765|0039-TickData: RTTDelay,DM_DOCKER,STP1 {2=2}
10:54:11:923|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {STP1} -Component {STP1} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {08:54:11:923}
